Td    ID    Tj    Df    Dd    Db
7    2002    1    6    0    6
10    12    5    5    0    5
11    2005    2    9    0    9
11    2011    4    7    0    7
11    2008    3    8    0    8
11    15    6    5    0    5
11    14    5    6    0    6
11    11    4    7    0    7
11    17    6    5    0    5
11    2    1    10    0    10
12    2014    5    7    0    7
14    2017    6    8    0    8
18    2042    15    3    0    3
20    2046    16    4    0    4
Td    ID    Tj    Df    Dd    Db
20    2000    1    19    0    19
22    2001    2    20    0    20
28    2002    3    25    0    25
34    2003    4    30    0    30
